Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts Total,Social Insurance and Retirement Receipts On - Budget,Social Insurance and Retirement Receipts Off - Budget,Excise Taxes,Other,Total Receipts Total,Total Receipts On - Budget,Total Receipts Off - Budget
1965,379339.5516836708,197949.75252947086,172923.23144261778,42908.16088174658,130015.07056087119,113276.30078765133,44727.42336522705,908208.48518264,778193.4146217689,130015.07056087119
1966,418559.59859360964,227019.8537046067,192845.71485179008,48766.27722314898,144071.88866931864,98604.50667008855,50638.419135121265,987668.0929552163,843588.6553265752,144071.88866931864
1967,451874.5961348315,249498.29186516855,239568.59622471913,60349.34103370787,179211.91074157305,100758.50184269664,51315.668224719106,1093015.654292135,913796.3991011237,179211.91074157305
1968,484201.74886706594,201956.21935329342,239000.90106826348,63457.86386586827,175550.0825964072,99192.10229461078,53404.086610778446,1077755.0581940121,902204.9755976049,175550.0825964072
1969,583004.8740299864,245085.3622353476,260701.3852339846,67235.0977373921,193466.28749659247,101714.63503861883,58254.381044979564,1248760.637582917,1055287.6680054523,193466.28749659247
1970,570569.7451705643,207176.41645140527,279958.57889723236,68806.37450332547,211152.2043939069,99110.7137095044,59946.04708860759,1216761.5013173139,1005609.296923407,211152.2043939069
1971,522110.75743104157,162179.48089748868,286546.3480856319,69515.87157678057,217036.53137093454,100595.47864965006,61668.770317002876,1133100.8353808152,916064.3040098805,217036.53137093454
1972,555440.1796372335,188588.28987841343,308239.77964520635,74266.23975284035,233973.53989236598,90741.18517839347,72436.99314331275,1215446.4274825596,981472.8875901935,233973.53989236598
1973,569673.8945638717,199479.1111536297,348245.6255486775,93970.8666516601,254274.75889701743,89716.76893640967,66355.09613956105,1273464.9787056837,1019190.2198086663,254274.75889701743
1974,591232.8460696181,191954.8432578574,373129.001507266,105102.98072321732,268026.0207840487,83720.54323758028,68277.67172017574,1308314.9057924976,1040288.885008449,268026.0207840487
1975,557350.2778634465,184989.50563864378,384970.89854157,100539.45781699955,284435.99476079893,75373.85361820717,68301.43535531817,1270985.9710171856,986554.5302926152,284435.99476079893
1976,566604.08014637,178282.47346018735,390797.2139754098,104970.0544672131,285831.464912178,73032.56773419204,74556.68074355971,1283268.7106557377,997437.2457435597,285831.464912178
1977,637406.2592136377,221971.65683805334,430602.854302997,119971.12721473743,310631.7270882596,70960.4065108606,76864.33821281276,1437805.5150783614,1127169.7442012648,310631.7270882596
1978,679994.2707574404,225247.06897943548,454487.9602554605,133663.42617447954,320824.53408098104,69040.90171413975,72429.82712479246,1501200.0288312687,1180371.7376267724,320824.53408098104
1979,735670.3158805971,221797.63835132035,469210.5619150402,138275.26078071183,330935.30113432836,63303.6943053961,74637.23381400689,1564616.0671687718,1233684.1431320321,330935.30113432836
1980,726195.8812340683,192208.98159012743,469522.50653044705,132683.70472182884,336838.8018086182,72387.8067044305,78284.99248634432,1538600.1685454175,1201761.3667367995,336838.8018086182
1981,770721.344835044,164801.64124266864,492542.2557184751,141640.94147727275,350904.00985337247,110086.10541422288,77253.54918255133,1615404.896392962,1264503.5821517596,350904.00985337247
1982,756042.5451381215,124948.22907803867,511651.1525345304,147354.45529350828,364296.6972410221,92202.23029350828,83810.05241022099,1568654.2094544198,1204357.5122133978,364296.6972410221
1983,711211.0945405858,91128.39827949791,514431.647939749,151808.46079330545,362623.1871464435,86889.75364016737,74604.5762912134,1478263.0092251047,1115639.822078661,362623.1871464435
1984,703795.220157152,134178.98383258499,564555.0143938422,172876.34144644003,391678.67294740217,88113.84555163566,81111.62378447723,1571757.0461642079,1180078.3732168057,391678.67294740217
1985,762087.1119981412,139716.6919237918,604061.5215892193,179949.7958364312,424109.4476765799,81992.51888475836,84334.38122676579,1672192.2256226765,1248080.4998698884,424109.4476765799
1986,779796.511789106,141101.65132264682,634415.5316052573,186978.73827850795,447436.7933267493,73561.99831953204,89906.12954189775,1718781.8225784397,1271345.0292516905,447436.7933267493
1987,846917.6857591316,181065.2050403403,654390.0086078921,193988.2631890861,460399.5879800499,70023.9897051489,90674.99347806953,1843071.8825905824,1382672.2946105325,460399.5879800499
1988,831434.2667596703,195864.68372859864,692898.1571337985,192418.1715916297,500482.0580088777,73006.78475586558,91161.59312618898,1884365.485504122,1383883.4274952444,500482.0580088777
1989,881446.7436831844,204279.91564042226,710821.5639292678,189367.96238284142,521453.6015464265,68005.62662004976,95565.0521697035,1960118.9020426278,1438665.3004962013,521453.6015464265
1990,875895.7048077047,175423.40210727727,712985.5272938326,184587.88518655527,528397.6421072773,66308.83407105046,105384.98925186557,1936000.3335773968,1407600.8154244532,528397.6421072773
1991,842160.7495740516,176569.92709424728,712888.0745287639,183851.55092533663,529036.5236034272,76330.13935373319,91190.41246266832,1899141.103167687,1370102.779410037,529036.5236034272
1992,831517.051569757,175173.36344954564,722719.8402185662,194378.31791649343,528343.2693187622,79609.80352081725,97338.52888519333,1906358.5876438795,1378017.0653418067,528343.2693187622
1993,864739.7216127359,199388.26731268386,726666.0611109189,197430.3532514276,529237.4044921267,81535.0745596124,86151.61196054681,1958480.7365564979,1429245.0286970066,529237.4044921267
1994,898054.8804520156,232155.9223140496,763145.3093270366,209111.48895260584,554035.4740833193,91326.07336819025,96621.24922921235,2081301.780981616,1527267.960607185,554035.4740833193
1995,949455.5366334902,252553.7185868971,779314.270368588,214575.11106201468,564739.1593065733,92467.69483101828,100673.06869736411,2174464.2891173577,1609725.1298107842,564739.1593065733
1996,1025776.495502311,268507.7025171333,796056.3295585188,221780.13639908624,574276.1931594326,84407.15525049143,95924.1829506455,2270671.8657791,1696395.6726196676,574276.1931594326
1997,1126107.4809905,278360.644466594,823617.2489705654,225050.16726989567,598567.0817006697,86922.70863728391,96472.54033951098,2411480.623404454,1812913.5417037844,598567.0817006697
1998,1245972.0601564338,283719.8195409233,859881.1096631052,234630.4577802771,625250.6518828281,86724.78973263127,112721.3247645826,2589019.1038576765,1963768.451974848,625250.6518828281
1999,1294121.1630615308,271749.5524562281,900288.8451805903,246271.19258629315,654017.6525942972,103611.50631715858,119254.615977989,2689025.682993497,2035008.0303991996,654017.6525942972
2000,1429887.6052964234,295083.31008469244,929358.1866640855,245229.6632318637,684128.5234322217,98031.79208246623,130570.97313846003,2882931.8672661274,2198803.3438339056,684128.5234322217
2001,1376700.6073090138,209169.15081195577,960824.0151019064,258144.43045234174,702679.5846495646,91700.75258366675,118335.11931654508,2756729.645123088,2054050.0604735233,702679.5846495646
2002,1169746.3940604152,201753.29868791698,954990.6891771683,252714.9357987398,702275.7533784285,91292.1275148258,107657.9063639733,2525440.4158042995,1823164.662425871,702275.7533784285
2003,1057349.4161902175,175551.9300978261,949814.5670543478,251963.0731304348,697851.4939239131,89954.07828260871,101691.91051630436,2374361.9021413047,1676510.4082173915,697851.4939239131
2004,1049677.5633984737,245721.3404614231,951643.8691446469,257777.02466981343,693866.8444748336,90641.4616701222,101887.46479509462,2439571.6994697605,1745704.854994927,693866.8444748336
2005,1163954.8507784228,349331.3184807102,996876.3099607376,271962.5445322636,724913.765428474,91755.92885285082,101539.8469511779,2703458.2550238995,1978544.4895954253,724913.765428474
2006,1269527.132102369,430406.4102947865,1018898.6877628479,279027.49635258614,739871.1914102618,89946.14105593915,118285.60273204614,2927063.973947989,2187192.782537727,739871.1914102618
2007,1375449.4505287106,437698.99998633517,1028044.0529088111,277245.73882232845,750798.3140864827,76924.17204406523,117739.41493732242,3035856.0904052444,2285057.776318762,750798.3140864827
2008,1304720.5822277612,346574.32253254007,1025052.4380122578,275701.8743602043,749350.5636520535,76676.66219830736,121173.35889535284,2874197.3638662193,2124846.800214166,749350.5636520535
2009,1045657.7765273564,157914.30730595597,1017793.2338517993,270646.26608916663,747146.9677626326,71381.25620092778,112015.66718968953,2404762.241075729,1657615.2733130963,747146.9677626326
2010,1009983.0384750891,215178.16272296297,972064.3742698459,262038.37054026226,710026.0037295837,75206.75569315613,158482.81894017148,2430915.150101226,1720889.146371642,710026.0037295837
2011,1189486.8609835366,197346.36424465262,892319.2107165564,275723.6631380517,616595.5475785047,78880.78631798438,152283.14994464774,2510316.372207378,1893720.8246288733,616595.5475785047
2012,1208816.5924371867,258683.4581030427,902512.0773246636,294475.85581588314,608036.2215087805,84410.65372792268,161345.51790849693,2615768.299501313,2007732.0779925322,608036.2215087805
2013,1385173.152831005,287793.7780076776,997333.5088489356,288888.1069406004,708445.4019083352,88395.47179619815,161379.8459466392,2920075.757430455,2211630.3555221204,708445.4019083352
